{'N': '4'} , {'S': 'Ian Kehoe'}
{'N': '5'} , {'S': 'Nora Dempsey'}
{'N': '6'} , {'S': 'Theresa Enright'}
{'N': '11'} , {'S': 'Richard Finnegan'}
{'N': '39'} , {'S': 'Lisa Ahearn'}
{'N': '12'} , {'S': 'Christina McArdle'}
{'N': '15'} , {'S': 'Michael Ahearn'}
{'N': '31'} , {'S': 'Alan Behan'}
{'N': '13'} , {'S': 'Olive Ahearn'}
{'N': '29'} , {'S': 'Oliver Ahearn'}
{'N': '30'} , {'S': 'Nick Enright'}
{'N': '23'} , {'S': 'Eoin Gallagher'}
{'N': '8'} , {'S': 'Eoin Ahearn'}
{'N': '24'} , {'S': 'Rose Enright'}
{'N': '17'} , {'S': 'Patricia Cahill'}
{'N': '26'} , {'S': 'Stephen McArdle'}
